id,latitude,longitude,ore_cost_per_tonne,ore_cost_per_kg
1,47.29415278,-91.25649444,107.299,0.107299
2,47.34858889,-92.58361944,103.193,0.103193
3,47.53,-92.91,107.607,0.107607
4,47.55833333,-92.525,120.138,0.120138
5,46.48333333,-87.66666667,105.661,0.105661
