site.latitude,site.longitude,iron_transport.latitude,iron_transport.longitude,ewin_grid_feedstock.price,grid_feedstock.price
41.132,-94.603,41.132,-94.603,0.0636,0
39.576,-75.832,39.576,-75.832,0.1247,0
38.181,-76.546,38.181,-76.546,0.1247,0
43.921,-89.498,43.921,-89.498,0.0864,0
41.044,-81.142,41.044,-81.142,0.0933,0
40.689,-84.735,40.689,-84.735,0.0933,0
46.452,-87.296,46.452,-87.296,0.0846,0
39.151,-84.003,39.151,-84.003,0.0933,0
42.183,-79.815,42.183,-79.815,0.102,0
38.229,-79.09,38.229,-79.09,0.0992,0
41.2,-81.696,41.2,-81.696,0.0933,0
42.78,-72.612,42.78,-72.612,0.126,0
41.398,-80.761,41.398,-80.761,0.0933,0
40.833,-79.277,40.833,-79.277,0.102,0
40.979,-76.57,40.979,-76.57,0.102,0
39.553,-88.223,39.553,-88.223,0.0996,0
42.498,-94.721,42.498,-94.721,0.0636,0
42.955,-92.758,42.955,-92.758,0.0636,0
43.395,-72.683,43.395,-72.683,0.126,0
44.34,-88.065,44.34,-88.065,0.0864,0
40.009,-89.462,40.009,-89.462,0.0996,0
39.417,-86.099,39.417,-86.099,0.0895,0
38.024,-87.285,38.024,-87.285,0.0895,0
41.321,-76.165,41.321,-76.165,0.102,0
41.428,-95.036,41.428,-95.036,0.0636,0
39.597,-81.475,39.597,-81.475,0.0933,0
41.496,-86.362,41.496,-86.362,0.0895,0
42.894,-90.659,42.894,-90.659,0.0864,0
42.209,-95.172,42.209,-95.172,0.0636,0
40.386,-79.688,40.386,-79.688,0.102,0
41.225,-97.815,41.225,-97.815,0.075,0
43.101,-88.679,43.101,-88.679,0.0864,0
46.066,-92.269,46.066,-92.269,0.0864,0
45.91,-90.383,45.91,-90.383,0.0864,0
43.227,-75.538,43.227,-75.538,0.0895,0
39.397,-91.23,39.397,-91.23,0.0784,0
46.698,-85.008,46.698,-85.008,0.0846,0
45.715,-94.651,45.715,-94.651,0.093,0
41.506,-82.813,41.506,-82.813,0.0933,0
38.304,-95.361,38.304,-95.361,0.0826,0
41.931,-91.037,41.931,-91.037,0.0636,0
40.544,-84.178,40.544,-84.178,0.0933,0
45.835,-91.022,45.835,-91.022,0.0864,0
39.502,-74.69,39.502,-74.69,0.1364,0
43.939,-72.942,43.939,-72.942,0.126,0
40.148,-75.65,40.148,-75.65,0.102,0
38.306,-95.919,38.306,-95.919,0.0826,0
41.198,-92.702,41.198,-92.702,0.0636,0
39.353,-93.221,39.353,-93.221,0.0784,0
44.837,-72.907,44.837,-72.907,0.126,0
43.11,-72.172,43.11,-72.172,0.1686,0
46.146,-91.63,46.146,-91.63,0.0864,0
39.967,-96.347,39.967,-96.347,0.0826,0
39.274,-97.619,39.274,-97.619,0.0826,0
43.562,-86.491,43.562,-86.491,0.0846,0
41.271,-75.133,41.271,-75.133,0.102,0
43.286,-85.319,43.286,-85.319,0.0846,0
42.129,-88.793,42.129,-88.793,0.0996,0
