,site.latitude,site.longitude,iron.LCOE,iron.LCOH,state,rate
43,46.295,-97.814,50.4352344,6.861520616,ND,7.55
44,41.415,-84.014,57.72454279,7.748746212,OH,9.33
45,40.169,-88.725,55.9963289,6.822567835,IL,9.96
46,41.603,-93.416,50.76824359,6.498809353,IA,6.36
47,44.258,-96.218,48.08888229,6.484302926,MN,9.3
48,42.783,-75.227,58.89441507,8.518178578,NY,8.95
49,43.47,-94.398,48.64393387,6.650122757,IA,6.36
50,46.891,-96.389,52.22032516,7.525073042,MN,9.3
51,44.308,-85.91,58.17542757,6.947540066,MI,8.46
52,42.469,-73.805,70.30200869,10.48294073,NY,8.95
53,38.72,-77.532,67.57701181,10.59481219,VA,9.92
54,46.819,-91.258,65.65937746,8.981078822,WI,8.64
55,39.284,-88.681,54.93068491,7.231633641,IL,9.96
56,40.095,-74.638,57.41269903,8.39533146,NJ,13.64
57,39.765,-83.169,60.6389907,8.920491025,OH,9.33
58,43.478,-90.607,54.7934753,6.656543983,WI,8.64
59,40.846,-95.916,49.00242728,6.357131627,NE,7.5
60,41.48,-92.247,51.31129381,6.47246505,IA,6.36
61,46.557,-92.397,65.61020315,8.920584641,MN,9.3
62,42.796,-96.513,46.88752754,6.663217889,IA,6.36
63,41.196,-84.939,56.18609974,7.304981003,IN,8.95
64,41.301,-89.914,52.27357502,6.557154344,IL,9.96
65,38.735,-89.447,56.67704606,7.716713398,IL,9.96
66,44.564,-90.973,54.16784025,6.995728955,WI,8.64
67,43.399,-84.233,56.52538901,7.342584936,MI,8.46
68,40.403,-92.166,51.16250247,6.74221526,MO,7.84
69,38.862,-93.101,52.61488688,6.996040576,MO,7.84
70,41.717,-88.398,58.02462706,7.10284254,IL,9.96
71,44.056,-72.423,57.60315341,9.361197001,VT,12.6
72,45.586,-87.582,57.64037358,7.851745274,MI,8.46
73,44.721,-93.281,54.55981386,7.286968665,MN,9.3
74,40.227,-85.106,55.34456603,7.546306027,IN,8.95
75,41.763,-76.475,62.14805368,8.711817509,PA,10.2
76,42.45,-92.039,50.89051651,6.617038851,IA,6.36
77,44.037,-76.354,52.30808721,7.855595437,NY,8.95
78,46.887,-94.784,55.19318723,7.119884185,MN,9.3
79,41.138,-95.478,50.99325709,6.431124144,IA,6.36
80,39.732,-78.404,69.22754364,11.19056578,PA,10.2
81,39.719,-84.904,56.02114788,8.079337839,IN,8.95
82,44.144,-86.399,54.58691417,6.837009571,MI,8.46
83,42.875,-88.104,54.75903184,7.161985723,WI,8.64
84,40.064,-81.224,59.84133196,8.827448556,OH,9.33
85,43.156,-73.707,80.94288555,11.47455377,NY,8.95
86,43.033,-74.216,74.01588852,10.24146903,NY,8.95
87,41.233,-96.938,44.8074436,6.303142878,NE,7.5
88,38.794,-95.637,46.52550588,6.614472671,KS,8.26
89,41.927,-73.545,53.6741379,8.075798189,NY,8.95
90,39.255,-82.984,63.20230992,9.277783207,OH,9.33
91,39.637,-92.782,54.3036301,6.871183342,MO,7.84
92,42.26,-72.505,72.50926875,10.75063221,MA,19.03
93,38.14,-78.404,77.87765954,11.19263996,VA,9.92
94,43.142,-77.107,59.42168394,9.258997754,NY,8.95
95,43.693,-91.197,60.1929438,7.901418862,WI,8.64
96,43.741,-93.021,49.05224406,6.438050174,MN,9.3
97,45.056,-91.087,57.28220041,7.782807024,WI,8.64
98,45.429,-90.586,60.36112161,7.975822338,WI,8.64
99,40.462,-76.435,72.20604536,11.18261167,PA,10.2
100,39.384,-78.788,69.72767851,10.89852,WV,8.27
101,39.28,-75.199,56.46399806,8.329471452,NJ,13.64
102,43.282,-96.668,50.70693151,7.166731574,SD,8.67
103,38.31,-81.476,65.7838273,10.95258698,WV,8.27
104,42.308,-75.389,70.43238095,10.00672665,NY,8.95
105,38.09,-93.692,55.16553143,7.889404346,MO,7.84
106,45.655,-91.509,57.3754534,7.688712794,WI,8.64
107,45.214,-93.571,53.92479583,7.289779539,MN,9.3
108,45.13,-97.311,49.28337615,6.730451436,SD,8.67
109,46.687,-94.308,56.89453535,7.306322654,MN,9.3
110,41.132,-94.603,47.77765227,6.048935135,IA,6.36
111,39.576,-75.832,62.4785284,9.366275257,MD,12.47
112,38.181,-76.546,58.79155946,9.623913824,MD,12.47
113,43.921,-89.498,58.71964476,7.142340337,WI,8.64
114,41.044,-81.142,59.94867282,8.400766071,OH,9.33
115,40.689,-84.735,57.02486778,7.433518345,OH,9.33
116,46.452,-87.296,58.31682922,8.019475965,MI,8.46
117,39.151,-84.003,58.97234189,8.56742661,OH,9.33
118,42.183,-79.815,54.61601031,8.138823811,PA,10.2
119,38.229,-79.09,74.59578716,10.75220945,VA,9.92
120,41.2,-81.696,60.48322232,8.863916105,OH,9.33
121,42.78,-72.612,63.22770852,9.526568209,VT,12.6
122,41.398,-80.761,66.17442447,9.515075117,OH,9.33
123,40.833,-79.277,64.71334103,9.426644773,PA,10.2
124,40.979,-76.57,66.7885506,9.569792467,PA,10.2
125,39.553,-88.223,55.60630495,7.02909285,IL,9.96
126,42.498,-94.721,47.28725229,6.235183862,IA,6.36
127,42.955,-92.758,52.48840608,6.984380936,IA,6.36
128,43.395,-72.683,64.51809282,10.60738288,VT,12.6
129,44.34,-88.065,51.31168453,6.54155783,WI,8.64
130,40.009,-89.462,55.25405478,6.912022481,IL,9.96
131,39.417,-86.099,55.95759231,7.854978823,IN,8.95
132,38.024,-87.285,59.53868666,8.559414763,IN,8.95
133,41.321,-76.165,56.91217926,8.245658412,PA,10.2
134,41.428,-95.036,49.12946551,6.172112024,IA,6.36
135,39.597,-81.475,64.64281089,9.622144928,OH,9.33
136,41.496,-86.362,56.17204566,7.024954408,IN,8.95
137,42.894,-90.659,53.16976553,6.681489673,WI,8.64
138,42.209,-95.172,49.93455623,6.639947411,IA,6.36
139,40.386,-79.688,63.86411489,9.17986164,PA,10.2
