Item,Units,Case 1,Case 2,Case 3,Case 4,Case 5,Case 6,Case 7,Case 8,Case 9
Mass Flow Wellhead,kg/hr,3026.52,3026.52,3026.52,6053.04,6053.04,6053.04,12106.08,12106.08,12106.08
H2 Conc Wellhead,-,0.75,0.85,0.95,0.75,0.85,0.95,0.75,0.85,0.95
H2 Flow Out [kg/hr],kg/hr,828.5,938.9666667,1049.433333,1657,1877.933333,2098.866667,3314,3755.866667,4197.733333
H2 Conc Out [% mol],-,0.96,0.98,0.99,0.96,0.98,0.99,0.96,0.98,0.99
Capex [USD],2022 USD,9005600,8782800,8976800,10594100,9772700,9680400,16682700,14444500,12906800
Electricity [kW],kW,2688.075,2520.785,2053.585,5376.15,5041.57,4107.17,10752.3,10083.14,8214.34
Cooling Water [kt/h],kt/h,0.195,0.17,0.155,0.39,0.34,0.31,0.78,0.68,0.62
Steam [kt/h],kt/h,0.305,0.305,0.305,0.61,0.61,0.61,1.22,1.22,1.22
Labor [op/shift],Op/shift,5,5,5,7.5,7.5,7.5,10,10,10
