,a1,a2,a3,a4,a5,a6,a7,scale_x,scale_y,scale_z,fit_type
H2 Flow Out [kg/hr/(kg/hr H2 in)],0.013505568895770394,7.43060474327419,1.3833454929680746,0.658289110309819,-0.39685106210206944,1.0,1.0,0.95,12106.08,0.34674587760860653,double_exp
Labor [op/shift/(kg/hr H2 in)],-2.1208987555088044e-06,-5.951782523874021,-2.1208987515120015e-06,7.95178732579282,0.7500042417975061,1.0,1.0,0.95,12106.08,0.0016520624347435339,double_exp
Capex [USD/(kg/hr H2 in)],2.1154422882416486,-3.3514959888739417,0.3034392204136892,1.5975590882335347,-0.3482007040386721,0.2976240236869231,1.0,0.95,12106.08,2975.562692465274,exp_power
