,a1,a2,a3,a4,a5,scale_x,scale_y,scale_z,fit_type
H2 Flow Out [kg/hr/(kg/hr H2 in)],1.0008542302570493,1.0474621370884831,2.125663397071398,0.99959180428098,-2.126517627328447,0.95,12106.08,0.27374674543700356,double_exp
Steam [kt/h/(kg/hr H2 in)],1.0,1.0,1.0,1.0,-0.22368421052631593,0.95,12106.08,0.00010077580851935556,none
Cooling Water [kt/h/(kg/hr H2 in)],0.1728106649137583,-3.31037664633734,-3.2385489110730163e-09,0.388978290401506,0.6220611321388779,0.95,12106.08,6.443043495499782e-05,exp_power
H2 Conc Out [% mol],1.0588426079078985,0.5018349200815316,-0.21166219486138618,2.278367983994733,0.15281958695348763,0.95,12106.08,0.99,double_exp
Electricity [kW/(kg/hr H2 in)],32.447250415286824,-0.030323007787098767,-0.0003727145323776231,1.3376323598393902,-31.660856674852784,0.95,12106.08,0.8881735458546449,exp_power
