site.latitude,site.longitude
31.75,-83.425
44.144,-86.399
42.875,-88.104
29.639,-82.526
40.064,-81.224
43.156,-73.707
33.251,-110.391
34.342,-93.023
34.298,-104.366
43.033,-74.216
34.336,-99.22
34.763,-101.23
32.694,-95.152
41.233,-96.938
37.613,-101.313
35.672,-86.097
38.627,-114.419
34.761,-119.092
35.28,-114.748
35.333,-93.248
38.794,-95.637
29.308,-97.037
38.276,-98.851
35.205,-89.646
31.484,-88.695
34.484,-102.93
35.013,-109.812
47.223,-103.014
44.597,-114.39
39.149,-99.172
31.272,-103.517
41.927,-73.545
36.865,-86.198
34.089,-81.949
39.255,-82.984
33.454,-116.126
48.872,-110.584
46.469,-120.225
39.31,-107.289
46.638,-104.867
41.679,-102.394
48.973,-100.733
39.637,-92.782
42.317,-103.354
38.22,-106.121
38.779,-120.38
33.897,-109.066
31.283,-83.759
45.321,-107.025
43.298,-114.456
37.732,-102.988
42.26,-72.505
38.14,-78.404
46.838,-100.077
35.849,-104.824
36.221,-108.689
35.745,-83.513
37.644,-104.505
30.309,-102.921
39.739,-115.03
32.638,-116.16
43.142,-77.107
36.779,-105.631
46.395,-115.129
43.693,-91.197
46.635,-116.352
43.221,-102.858
44.246,-113.188
43.741,-93.021
45.056,-91.087
33.81,-111.564
43.834,-108.443
33.187,-117.113
47.89,-103.424
45.429,-90.586
33.543,-83.373
40.462,-76.435
39.384,-78.788
35.085,-79.453
42.359,-124.454
32.704,-116.97
39.28,-75.199
33.117,-89.44
43.745,-117.707
48.364,-120.378
47.972,-112.671
43.282,-96.668
47.143,-99.614
43.939,-120.294
38.31,-81.476
43.864,-103.695
42.308,-75.389
35.084,-77.284
38.09,-93.692
45.655,-91.509
45.214,-93.571
45.13,-97.311
46.687,-94.308
33.685,-95.663
43.506,-108.834
31.456,-108.505
41.132,-94.603
29.973,-84.722
33.601,-104.416
37.299,-79.605
34.07,-97.631
43.444,-113.268
41.692,-99.006
42.728,-112.609
36.463,-104.494
39.576,-75.832
47.012,-117.972
33.577,-79.407
44.191,-123.422
30.84,-100.075
39.161,-119.941
37.723,-106.185
37.204,-101.694
40.794,-99.835
36.761,-77.097
32.196,-113.818
38.181,-76.546
35.178,-89.114
30.966,-92.78
29.311,-100.857
30.684,-103.333
43.921,-89.498
35.526,-103.707
36.379,-120.208
32.356,-82.543
41.044,-81.142
40.689,-84.735
46.452,-87.296
39.625,-108.206
30.608,-95.176
48.497,-122.663
41.045,-112.608
39.151,-84.003
48.992,-104.909
30.523,-86.402
29.202,-97.528
37.573,-81.078
42.183,-79.815
46.156,-68.758
38.229,-79.09
41.2,-81.696
48.483,-115.177
36.315,-93.209
41.665,-116.223
35.12,-99.389
32.15,-102.069
36.604,-90.062
42.78,-72.612
41.398,-80.761
33.961,-88.574
40.833,-79.277
40.388,-104.58
30.346,-92.057
40.979,-76.57
39.553,-88.223
35.692,-82.98
43.098,-105.11
42.498,-94.721
37.845,-121.037
29.545,-89.748
42.955,-92.758
36.387,-86.403
43.395,-72.683
35.409,-86.538
41.801,-111.165
44.34,-88.065
40.009,-89.462
37.681,-102.012
31.103,-94.918
38.552,-109.138
39.417,-86.099
36.758,-107.139
32.507,-112.327
48.972,-111.622
48.107,-102.96
45.699,-109.633
38.024,-87.285
42.285,-114.606
41.321,-76.165
41.428,-95.036
35.873,-76.518
43.54,-119.662
42.109,-105.263
32.101,-96.437
38.883,-101.416
48.944,-95.571
39.597,-81.475
33.951,-112.793
48.241,-93.604
36.089,-120.663
39.767,-108.809
30.779,-101.58
41.496,-86.362
48.531,-102.185
42.894,-90.659
32.697,-95.797
42.209,-95.172
40.823,-111.077
38.186,-110.756
43.66,-111.325
31.208,-96.18
37.126,-85.746
40.386,-79.688
41.225,-97.815
47.332,-112.154
39.837,-123.313
43.592,-105.032
37.899,-82.268
44.189,-111.927
46.797,-114.283
47.714,-109.133
48.943,-108.585
47.377,-112.66
33.564,-101.535
38.253,-111.903
32.099,-108.099
35.759,-77.1
43.101,-88.679
45.575,-99.832
32.978,-112.565
35.75,-97.133
46.066,-92.269
43.903,-100.337
35.419,-107.732
27.047,-81.275
42.584,-105.485
45.91,-90.383
43.835,-124.212
33.991,-89.097
38.193,-105.135
47.788,-115.938
43.227,-75.538
32.702,-102.89
44.389,-120.003
33.408,-85.101
34.565,-97.51
34.269,-113.404
39.397,-91.23
48.041,-98.689
